title,location,experience,skills,company,salary,description,posted_date
Data Science,Mumbai,2-4 yrs,"Algorithms, Machine Learning, Python, Java, Data Science, R, Spark, SCALA...",Netcore Solutions Pvt Ltd,"    2,00,000 - 7,00,000 P.A.  ",At least 2 year of experience in data engineering or machine learning roles;Prior experience of ...,1 day ago
Analyst / Sr. Analyst (data Science),Gurgaon,5-8 yrs,"predictive modeling, predictive analytics, machine learning, data science...",Cvent India Pvt. Ltd.,"    5,00,000 - 10,00,000 P.A.  ",Strong experience on providing predictive modelling solutions to clients;Good understanding of ...,Today
ETL Lead & Data Science,"Chennai, Bengaluru, Mumbai, Pune, Noida",7-10 yrs,"SQL, Data Analysis, Text Mining, SAS, R, Statistical Modeling...",COMPUTER POWER GROUP PRIVATE LIMITED,"    10,00,000 - 15,00,000 P.A.  ",Industry experience in building and operationalizing various machine and deep learning models in finance/ ...,1 day ago
Specialist - Data Science,"Delhi NCR, Bengaluru, Gurgaon",7-12 yrs,"Specialist - Data Science, Data Science, data science programming, R...",Brainsearch Consulting Pvt Ltd.Â ,  Not disclosed ,"- Experience with one or more data science programming language, such as R, Python, SAS, etc ...",1 day ago
Group Manager - Data Science - Python/nlp,Bengaluru,6-11 yrs,"machine learning, text mining, r, nlp, data science, python...",Staffio HR,  Not disclosed ,"- This is a Team management role  - Skill set - Python with Machine learning, NLP, Text Mining, ...",1 day ago
"Data Analyst / Data Science - Excel,sql,sas,python, R - Analytics Team","Delhi NCR, Gurgaon, Noida",0-5 yrs,"data analyst, reporting analyst, sas, statistics, sas programmer...",SLA Consultants India,"    2,00,000 - 4,25,000 P.A.  ",,2 days ago
Trainee Data Science,"Mumbai, Bengaluru, Pune",0-1 yrs,"data science, Information Technology",MNC,"    4,00,000 - 8,00,000 P.A.  ",,2 days ago
Solution Architect - Data Science,Mumbai,4-9 yrs,"Deep Learning, Python, NLP, Data Science, Computer Vision...",Quantiphi Analytics Solutions Pvt. Ltd.,  Not disclosed ,- The experience of working in a category defining high growth startup in the transformational AI domain ...,3 days ago
Director - Data Science,Anywhere inindia,10-15 yrs,"Data Science, statistical modeling, predictive modelling, machine learning,...",Rinalytics Advisors,  Not disclosed ,Masters or PhD with experience in the area of data science specializing in a relevant field such as ...,3 days ago
Data Science Engineer - Machine Learning,Chennai,5-10 yrs,"Hadoop, Hive, Data Science, Spark, Machine Learning, R, Python, Big Data...",Resource Weaver,  Not disclosed ,- Experience with machine learning algorithms and data mining techniques;- Experience with statistical ...,3 days ago
Data Science Research Manager - IT,Bengaluru,10-15 yrs,"R, Analytics, SQL, Statistical Modeling, Machine Learning...",Peopleton Solutions,  Not disclosed ,"- Working experience with machine learning algorithms: linear/logistic regression, random forest, ...",4 days ago
