created_at,language,likes,retweets,text
6/17/2020 3:27,en,123212,18568,96% Approval Rating in the Republican Party. Thank you!
6/17/2020 2:45,und,0,7942,RT @TONYxTWO: @thejtlewis @JoeBiden https://t.co/SxzJCZ0BSi
6/17/2020 2:38,en,0,23815,"RT @thejtlewis: â€œTrump isnâ€™t going to accept the 2020 election results,â€ shout the people who still havenâ€™t accepted the 2016 election resuâ€¦"
6/17/2020 2:37,en,0,6781,"RT @thejtlewis: With the utmost respect, I thank President @realDonaldTrump for his leadership on the Federal School Safety Report, and forâ€¦"
6/17/2020 2:31,en,56840,14231,A GREAT woman. Her son is looking down from heaven &amp; is very proud of his wonderful &amp; loving mom!!! https://t.co/ZzKUbjlOOT
6/17/2020 2:22,en,0,4600,RT @JaRonSmith45: â€œWhat speaks louder than anything are the words of the executive order. It accounted for ways that we can reform our systâ€¦
6/17/2020 1:20,und,0,10223,RT @DanScavino: https://t.co/wmHpSgCWoL
6/17/2020 1:20,en,0,4103,"RT @SecondLady: Congratulations to Kathy Lueders, a trailblazing engineer and dedicated public servant who has been selected as the first wâ€¦"
6/17/2020 1:18,en,0,23660,RT @realDonaldTrump: Our testing is so much bigger and more advanced than any other country (we have done a great job on this!) that it shoâ€¦
6/17/2020 1:18,en,0,24112,RT @Jim_Jordan: Why the double standard?
6/17/2020 1:18,en,0,53343,"RT @realDonaldTrump: The Far Left Fake News Media, which had no Covid problem with the Rioters &amp; Looters destroying Democrat run cities, isâ€¦"
6/17/2020 1:18,en,0,49665,"RT @realDonaldTrump: Almost One Million people request tickets for the Saturday Night Rally in Tulsa, Oklahoma!"
6/17/2020 1:17,en,0,54697,"RT @realDonaldTrump: Iâ€™ve done more in less than 4 years than Bidenâ€™s done in more than 40 years, including for Black America. Biden has beâ€¦"
6/17/2020 1:17,en,0,46836,RT @realDonaldTrump: Many Democrats want to Defund and Abolish Police Departments. HOW CRAZY!
6/17/2020 1:16,en,104808,18843,True! https://t.co/E8Fy0zuKQB
6/17/2020 1:15,en,0,67932,RT @realDonaldTrump: Interesting how ANTIFA and other Far Left militant groups can take over a city without barely a wimpier from soft Do Nâ€¦
6/17/2020 1:15,en,0,49532,RT @realDonaldTrump: Does anyone notice how little the Radical Left takeover of Seattle is being discussed in the Fake News Media. That isâ€¦
